CB2020,CT2020,BCTCB2020,GEOID,OBJECTID,CTLabel,BoroCT2020,NAME,DP03_0128PE,precinct
"2000","027000","30270002000","360470270002000",1455,"270","3027000",,,"62"
"2000","027200","30272002000","360470272002000",1457,"272","3027200",,,"62"
"2000","027400","30274002000","360470274002000",1459,"274","3027400",,,"62"
"2000","027600","30276002000","360470276002000",1461,"276","3027600",,,"62"
"2000","027800","30278002000","360470278002000",1463,"278","3027800",,,"62"
"2000","028000","30280002000","360470280002000",1465,"280","3028000",,,"62"
"2000","028200","30282002000","360470282002000",1467,"282","3028200",,,"62"
"2000","028400","30284002000","360470284002000",2295,"284","2028400",,,"62"
"2000","028600","30286002000","360470286002000",1472,"286","3028600",,,"62"
"2000","028800","30288002000","360470288002000",1474,"288","3028800",,,"62"
"2000","029000","30290002000","360470290002000",1475,"290","3029000",,,"62"
"2000","029200","30292002000","360470292002000",1477,"292","3029200",,,"62"
"2000","029600","30296002000","360470296002000",1481,"296","3029600",,,"62"
"2000","029800","30298002000","360470298002000",1483,"298","3029800",,,"62"
"2000","030000","30300002000","360470300002000",1485,"300","3030000",,,"62"
"2000","030200","30302002000","360470302002000",1487,"302","3030200",,,"62"
"2000","030400","30304002000","360470304002000",1489,"304","3030400",,,"62"
"2000","040000","30400002000","360470400002000",1569,"400","3040000",,,"62"
"2000","040200","30402002000","360470402002000",1571,"402","3040200",,,"62"
"2000","040400","30404002000","360470404002000",1573,"404","3040400",,,"62"
"2000","040600","30406002000","360470406002000",1575,"406","3040600",,,"62"
"2000","040800","30408002000","360470408002000",1577,"408","3040800",,,"62"
"2000","041000","30410002000","360470410002000",1579,"410","3041000",,,"62"
"2000","041200","30412002000","360470412002000",1581,"412","3041200",,,"62"
"2000","042400","30424002000","360470424002000",1594,"424","3042400",,,"62"
"2000","042600","30426002000","360470426002000",1596,"426","3042600",,,"62"
"2000","042800","30428002000","360470428002000",1598,"428","3042800",,,"62"
"2000","043000","30430002000","360470430002000",1600,"430","3043000",,,"62"
"2000","043200","30432002000","360470432002000",1602,"432","3043200",,,"62"
"2000","043400","30434002000","360470434002000",1604,"434","3043400",,,"62"
"2000","043600","30436002000","360470436002000",1606,"436","3043600",,,"62"
"2000","044600","30446002000","360470446002000",1616,"446","3044600",,,"62"
"2001","015000","30150002001","360470150002001",1347,"150","3015000",,,"62"
"2001","017000","30170002001","360470170002001",1363,"170","3017000",,,"62"
"2001","017200","30172002001","360470172002001",1364,"172","3017200",,,"62"
"2001","017400","30174002001","360470174002001",1365,"174","3017400",,,"62"
"2001","017600","30176002001","360470176002001",2185,"176","5017600",,,"62"
"2001","017800","30178002001","360470178002001",1368,"178","3017800",,,"62"
"2001","018000","30180002001","360470180002001",1370,"180","3018000",,,"62"
"2001","018200","30182002001","360470182002001",1372,"182","3018200",,,"62"
"2001","018400","30184002001","360470184002001",1374,"184","3018400",,,"62"
"2001","018600","30186002001","360470186002001",1376,"186","3018600",,,"62"
"2001","018800","30188002001","360470188002001",1378,"188","3018800",,,"62"
"2001","019000","30190002001","360470190002001",1379,"190","3019000",,,"62"
"2001","019400","30194002001","360470194002001",2269,"194","1019400",,,"62"
"2001","019800","30198002001","360470198002001",2036,"198","5019800",,,"62"
"2001","024600","30246002001","360470246002001",1430,"246","3024600",,,"62"
"2001","024800","30248002001","360470248002001",2284,"248","5024800",,,"62"
"2001","025000","30250002001","360470250002001",1434,"250","3025000",,,"62"
"2001","025200","30252002001","360470252002001",1436,"252","3025200",,,"62"
"2001","025400","30254002001","360470254002001",1438,"254","3025400",,,"62"
"2001","025600","30256002001","360470256002001",1440,"256","3025600",,,"62"
"2001","025800","30258002001","360470258002001",1442,"258","3025800",,,"62"
"2001","026000","30260002001","360470260002001",1445,"260","3026000",,,"62"
"2001","026200","30262002001","360470262002001",1447,"262","3026200",,,"62"
"2001","026400","30264002001","360470264002001",2262,"264","2026400",,,"62"
"2001","026600","30266002001","360470266002001",1451,"266","3026600",,,"62"
"2001","026800","30268002001","360470268002001",1453,"268","3026800",,,"62"
"2001","027000","30270002001","360470270002001",1455,"270","3027000",,,"62"
"2001","027200","30272002001","360470272002001",1457,"272","3027200",,,"62"
"2001","027400","30274002001","360470274002001",1459,"274","3027400",,,"62"
"2001","027600","30276002001","360470276002001",1461,"276","3027600",,,"62"
"2001","027800","30278002001","360470278002001",1463,"278","3027800",,,"62"
"2001","028000","30280002001","360470280002001",1465,"280","3028000",,,"62"
"2001","028200","30282002001","360470282002001",1467,"282","3028200",,,"62"
"2001","028400","30284002001","360470284002001",2295,"284","2028400",,,"62"
"2001","028800","30288002001","360470288002001",1474,"288","3028800",,,"62"
"2001","029000","30290002001","360470290002001",1475,"290","3029000",,,"62"
"2001","029200","30292002001","360470292002001",1477,"292","3029200",,,"62"
"2001","029600","30296002001","360470296002001",1481,"296","3029600",,,"62"
"2001","029800","30298002001","360470298002001",1483,"298","3029800",,,"62"
"2001","030000","30300002001","360470300002001",1485,"300","3030000",,,"62"
"2001","030200","30302002001","360470302002001",1487,"302","3030200",,,"62"
"2001","030400","30304002001","360470304002001",1489,"304","3030400",,,"62"
"2001","040000","30400002001","360470400002001",1569,"400","3040000",,,"62"
"2001","040200","30402002001","360470402002001",1571,"402","3040200",,,"62"
"2001","040400","30404002001","360470404002001",1573,"404","3040400",,,"62"
